도로코드,도로명,전체 유동인구,남성 유동인구,여성 유동인구,10대 유동인구,20대 유동인구,30대 유동인구,40대 유동인구, 50대 유동인구, 60대 이상 유동인구
000446,동숭길,73931,31343,42588,7142,29577,15168,10082,7416,4547
000447,동일로101길,63360,31823,31538,4982,11545,11563,11725,13780,9766
000448,동일로109길,106301,54412,51888,4161,21418,19632,19936,23272,17882
000449,동일로114길,26461,13855,12605,596,5808,5325,4508,5471,4752
000450,동일로123길,53374,26889,26485,1618,7810,9238,8319,14616,11773
000451,동일로149길,226884,110038,116846,14432,40141,44129,40483,48118,39581
000452,동일로151길,71018,35501,35516,4448,14242,13985,12306,13703,12333
000453,동일로157길,115382,56544,58837,10255,28502,22483,16099,19287,18756
000454,동일로163길,39317,19130,20187,693,7549,8008,7040,8289,7737
000455,동일로169길,80299,38349,41951,2928,14765,16423,14493,17164,14527
000456,동일로173가길,110139,55411,54728,5985,23637,22892,19157,20768,17701
000457,동일로178길,92261,46100,46160,3155,24923,16234,15463,17505,14982
000458,동일로183길,57687,28561,29126,3015,12134,12309,10250,10641,9338
000459,동일로184길,78259,40454,37806,4174,21022,15555,11935,13621,11953
000460,동일로186길,72150,38273,33877,4223,22865,13032,9882,11716,10433
000461,동일로191길,78875,40206,38669,5028,17989,16307,14039,14405,11107
000462,동일로192길,118920,61225,57695,9688,40765,19801,17979,17319,13367
000463,동일로193길,76226,39590,36635,5263,16714,15831,14032,14147,10238
000464,동일로195길,109681,56137,53544,8018,21480,21971,19711,20720,17781
000465,동일로196길,63547,32866,30681,7415,18231,10219,10277,10053,7352
000466,동일로203가길,6564,2964,3600,632,1181,1372,1543,1069,767
000467,동일로207길,9432,4310,5122,972,1999,1656,1748,1592,1465
000468,동일로208길,10764,4865,5899,1084,2460,1833,1824,1716,1846
000469,동일로217길,27227,13179,14048,2129,7528,4256,4989,4871,3455
000471,동일로228길,149,88,61,0,49,65,26,8,1
000472,동일로231길,83301,40350,42951,7328,14018,21137,13826,14438,12553
000473,동일로236길,18036,9311,8725,1229,2816,2961,3666,4076,3288
000474,동일로239길,109726,53585,56141,9454,18599,18204,21112,21494,20863
000475,동일로241가길,102478,49425,53052,7465,18870,18047,18917,20283,18896
000476,동일로242가길,29647,14808,14839,1368,5515,5458,5608,6946,4752
000477,동일로242길,50028,25501,24527,3458,7750,8101,10277,11063,9379
000478,동일로242다길,8317,4154,4164,574,1316,1420,1697,1893,1417
000479,동일로243길,41836,20149,21687,2976,7308,7665,7792,7750,8346
000480,동일로72길,16181,8277,7904,709,3094,2760,3370,4257,1993
000481,동일로95길,53890,29690,24200,2747,9510,10791,10748,10938,9156
000482,동일로96길,33874,17979,15895,1416,5796,6412,6039,8599,5611
000483,동일로99길,47402,23951,23451,3610,7893,8002,8801,10925,8171
000484,동작대로7길,113182,59794,53388,4099,33744,24558,14526,18435,17821
000485,동호로11길,148774,76334,72439,9251,35959,32084,25188,23083,23209
000486,동호로14길,84083,42495,41589,5019,21785,18018,13884,13493,11885
000487,동호로15길,71112,36049,35063,3949,18719,15694,11764,10834,10153
000488,동호로25길,69088,36044,33044,9902,31836,9982,7327,5926,4115
000489,동호로5길,21433,10617,10816,949,5198,4437,3578,3566,3704
000490,두산로13길,2206,1323,883,0,738,556,357,410,145
000491,두산로5길,17427,10304,7123,25,5054,4392,2944,3029,1983
000492,두산로9길,21721,12763,8958,35,6689,5418,3469,3713,2398
000493,두텁바위로15길,13313,7707,5606,1544,2714,3300,2757,1378,1620
000494,두텁바위로58길,11586,5326,6259,301,3618,3039,1715,1765,1147
000495,둘레15길,23251,12625,10625,629,4895,4667,3537,5714,3808
000496,둘레길,51630,29122,22508,1281,10720,10196,7829,13440,8164
000497,등촌로39길,45046,23333,21713,2570,9002,8778,7364,10101,7231
000498,등촌로55길,15942,8013,7929,119,4653,4472,2976,2138,1585
000499,등촌로5가길,24520,12308,12212,1134,6329,5853,3842,3978,3385
000500,디지털로27길,186835,106868,79967,2229,26158,38770,42522,45139,32019
000501,디지털로31길,4486,2236,2250,27,755,1238,1158,924,385
000502,디지털로32길,211535,122093,89443,4078,70186,58690,34465,26490,17626
000503,디지털로32나길,94483,55482,39000,1885,31707,24425,14735,12283,9447
000504,디지털로37가길,5882,3034,2847,41,904,1196,1268,1458,1014
000505,디지털로37길,35247,17628,17619,292,6134,7403,7516,8298,5604
000506,디지털로38길,61825,33357,28467,741,17028,14710,10662,10867,7817
000507,디지털로48가길,21291,10311,10979,97,4210,4705,4420,4809,3049
000508,디지털로53가길,19795,9437,10357,121,3173,3880,4131,5036,3453
000509,디지털로54길,27832,13615,14218,77,4594,6367,6006,6590,4198
000510,디지털로57길,106762,52848,53915,1696,15704,21327,21983,26583,19470
000511,디지털로74길,6814,3063,3751,170,1306,1277,1301,1520,1241
000512,디지털로77길,1122,297,825,0,95,55,129,488,354
000513,뚝섬로27길,135917,66206,69711,3289,39307,27237,21988,25847,18249
000514,뚝섬로30가길,16483,8077,8405,243,3062,3492,3106,3805,2774
000515,뚝섬로56길,29864,14363,15500,1675,6045,6585,5730,5108,4720
000518,마른내로12길,33048,18682,14366,1325,8738,7177,6389,5321,4099
000519,마방로4길,78698,45039,33659,3850,15872,20952,16798,12118,9108
000520,마장로27길,26514,13518,12996,646,5498,4811,4733,6272,4556
000521,마장로31길,24196,12471,11725,976,4454,5248,4722,4507,4289
000522,마장로35길,10837,6132,4705,234,2135,2556,2256,2159,1498
